voter_name,voter_id,voter_url,voter_role,voter_nationality,voter_gender,poll_category,voter_title,film_count,voter_comments
Mania Akbari,1046,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1046,Director,Iran,Female,directors poll,20 Fingers; From Tehran to London,10,"As a filmmaker, my choice is based on my personal view and personal experience with these films. Each of these films and filmmakers created a new question for me between cinema and life. It is like a hanging pendulum of time, swinging between art and life, moving life forward and adding more meaning to its mundanities."
Mohamed Al-Daradji,1081,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1081,Director,Iraq/Holland,Male,directors poll,Son of Babylon; Ahlaam (Dreams) ,10,
Antti Alanen,785,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/785,programmer,Finland,Male,critics poll,"Programmer, National Audiovisual Archive, Helsinki",10,"
	Mission: impossible. Ten best Biograph shorts by D.W. Griffith; ten best Hollywood animations from the 1940s; ten best experimental films from the 1960s; ten best Finnish films; ten best films of 1914 or 2012: justice would be possible in lists like them. I think there are on the average ten masterpieces per year in the history of the cinema. I wrote a book on the 1,000 best feature films for the centenary of the cinema and a new edition of it on the 1,100 best films for the 110th anniversary. I could include any of them in this top ten list. And many more short films."
Marcelo Alderete,364,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/364,programmer,Argentina,Male,critics poll,"Programmer, Mar de Plata International Film Festival",10,"Choosing the best ten films in history produces a feeling of distress similar to that when you attend a film festival: the offer is just too vast. You can do it in the simplest way, choosing the ones you feel are the best films – always, in our own opinion, following a logical and unappealable criteria, but fanciful and incomprehensible to everyone else. Another possibility is to impose certain rules. Personally, I’ve always believed in choosing those films that, as Serge Daney said, saw me grow up. Or to express it in another way, films that grew up with me.
In the mid-1970s Argentineans found their cinematographic education in neighborhood movie theatres with their double-features; cinephilia came to me together with the Video Club explosion during the 1980s. I was part of Generation VHS and, for the first time, film history was available to anyone. The old guardians of cinephilia saw their ancient, secret knowledge tested by young people who consumed non-stop every film that fell into their hands. Low-budget horror films, classics films… whatever. Part of this list comes from that ignoble place – perhaps not actual film choices, but a certain atmosphere.
By the mid-1990s, TV cathode rays had defined the cinephilia of a generation, just as film festivals were reborn in our country. Film festivals: another place where films became more democratic, where many movies that did not reach commercial distribution (almost always the best ones) were, at least for a while, available to all audiences. And from here comes another restriction to this list: to choose only films that I have seen, at least once, in movie theaters.
The last rule I followed to get to my final ten films comes from Corto Maltés’ ‘The Ballad of the Salty Sea’: “To remain in the past, as you do, is like guarding a graveyard.” As nobody wants – I think – to have that task, I tried as hard as I could to move away from the past, or to keep it present as a kind of tool that will help me to better understand the future.
“Every rule wants to destroy its exception,” Jean-Luc Godard said. This list is born from that struggle among rules and exceptions.
"
Nigel Algar,247,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/247,archivist,UK,Male,critics poll,"Senior curator, fiction film, BFI National Archive",10,"The ‘greatest’? That’s a stretch, but these are all films that have enjoyed an extended life both in the film culture at large and in my own mind, from the first time I saw them until today. What runs through all these films is the sheer pleasure of exploring the expressive possibilities of the medium. The predominant mood seems to be sadness and the spirit of noir hovers over many of them without definitively settling on a single title. Last week I might have chosen other films, tomorrow I could choose a different set, but I suspect that they would all share these characteristics."
Francisco Algarín Navarro,600,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/600,critic,Spain,Male,critics poll,"Critic, Lumiére",10,"It would be unfair on my part to forget these filmmakers: Chantal Akerman, Michelangelo Antonioni, Bruce Baillie, James Benning, Ingmar Bergman, Jean-Claude Biette, Frank Borzage, Stan Brakhage, Robert Bresson, Luis Buñuel, John Cassavetes, Charles Chaplin, Jean Cocteau, Nathaniel Dorsky, Aleksandr Dovzhenko, Stephen Dwoskin, Jean Epstein, Hollis Frampton, Philippe Garrel, David Gatten, Peter Hutton, Fritz Lang, Louis Lumière, Chris Marker, Leo McCarey, Gregory J. Markopoulos, Jonas Mekas, Kenji Mizoguchi, João César Monteiro, Peter Nestler, Manoel de Oliveira, Yasujiro Ozu, Pier Paolo Pasolini, Nicholas Ray, Jean Renoir, Glauber Rocha, Eric Rohmer, Roberto Rossellini, Jean Rouch, Jean-Claude Rousseau, Werner Schroeter, Jacques Tourneur, José Val del Omar, Jean Vigo, Andy Warhol."
Tariq Ali,66,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/66,critic,Pakistan/UK,Male,critics poll,Writer,10,
Sitora Alieva,95,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/95,programmer,Russia,Male,critics poll,"Artistic director, Open Russia Film Festival 'Kinotavr'",10,
Woody Allen,1200,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1200,Director,US,Male,directors poll,Annie Hall; Manhattan,10,
Thomas Allenbach,63,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/63,programmer,Switzerland,Male,critics poll,"Programmer, Kino Kunstmuseum, Berne",10,
Gunnar Almer,557,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/557,programmer,Sweden,Male,critics poll,"Deputy head of International Department, Swedish Film Institute",10,
Florence Almozini,607,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/607,programmer,US,Female,critics poll,"Programme director, BAMcinématek",10,"While I consider these the ‘greatest’ because they had the greatest impact on my personal view of cinema, having no films by Bergman, Lang, Dreyer, Ophuls, Ozu or Tarkovsky is some sort of a crime against cinema!"
Lisandro Alonso,1035,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1035,Director,Argentina,Male,directors poll,La libertad; Liverpool,10,
Tata Amaral,1180,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1180,Director,Brazil,Female,directors poll,"
Através da Janela; Viva la Vida",10,
Suzana Amaral,1178,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1178,Director,Brazil,Female,directors poll,Hora da Estrela (Hour of the Star),10,
Masoud Amralla Al Ali,326,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/326,programmer,Dubai,Male,critics poll,"Artistic director, Dubai International Film Festival",10,"I chose the above list for their originality and their highly cinematic/poetic aspects, which made them a landmarks in the history of cinema."
Thom Andersen,1183,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1183,Director,US,Male,directors poll,Los Angeles Plays Itself; Get Out of the Car,10,
Jason Anderson,502,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/502,critic,Canada,Male,critics poll,"Critic, the Grid, Cinema Scope",10,"Such a shameful list! And for so many reasons! No silents, no docs, no experimental films, nothing before the 1930s, whole continents unrepresented, nothing from my homeland (James Cameron doesn’t count), only one movie by someone other than a white dude (and no non-dudes at all). I couldn’t decide on a single title by Hitchcock, Buñuel, Ford, Sturges, Ozu, Visconti, Godard, Varda, Scorsese, Malick, Denis, Apichatpong etc. I’ve chosen possibly the most imperfect Tarkovsky, but it’s the one I love best. Mulholland Dr., Children of Paradise and A Brighter Summer Day are all longer than they ought to be, but can I really bedgrudge them? In all of these cases, ‘greatest’ meant the movies that overwhelmed me on my first viewing and continue to remind me what cinema can and should be. No more apologies from me, then."
Roy Andersson,1154,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1154,Director,Sweden,Male,directors poll,Songs from the Second Floor; A Swedish Love Story,10,This is my list of films that I consider the best in film history. I hesitated a little about what word I should use: the best films or the most important films. I decided to call them the best films. Only the first three films are placed in order of preference. The others are a mixture without preference.
Borislav Andjelic,757,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/757,critic,Serbia,Male,critics poll,"Critic, Vecernje Novosti newspaper; artistic director, FEST film festival",10,"When it comes to movies, like football fans everyone regards himself as an expert. In most cases that is even true. Therefore in making this personal choice of films that I treasure and that for various reasons had impacted on my views about film art, I realised that before finalising it I have already mentally created another eand qually provocative ‘personal best’ list. The wheel goes around."
Fábio Andrade,621,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/621,critic,Brazil,Male,critics poll,"Editor, Revista Cinetica",10,"This list is a compromise between three criteria: a) movies that are among my all-time favorites and that had a deep impact on me as a critic and art lover; b) movies that I think played a key role in the history of cinema and that directly affected, or should have affected, what came after them (and, on very special occasions, what came before them as well); c) movies that were the perfect and ultimate crystallisation of what cinema was at the time they were made. What I think all of them have in common is that now, looking back, they all seem to be the extreme expressions of artistic projects have been aborted by history and that remain abandoned mysteries, like a time capsule that can tell us as much about the future as it can show us about the past. If I could, I’d have added Jean-Luc Godard’s Histoire(s) du Cinema – the entire series – to the list as the string that could possibly tie these ten titles together. But maybe they’re better off untied."
Arild Andresen,884,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/884,Director,Norway,Male,directors poll,The Orheim Company; The Liverpool Goalie,10,"It has not been easy choosing only ten films. I realised I had to make a rather personal list, having no illusions that I would ever be able to do justice to all great films and directors out there. So this was a pleasure, as well as a pain. What about Touch of Evil, Singing in the Rain, It's a Wonderful Life, Go and See? What about Bergman, Buñuel or Bresson? Maybe another time, should the opportunity return. 
 
8½ is beautiful, bittersweet, romantic, dark and immensely entertaining. This masterpiece has got it all."
Geoff Andrew,583,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/583,critic,UK,Male,critics poll,"Critic; head of film programme, BFI Southbank",10,"A top ten might have sufficed in 1952, but 60 years on we need a top 20. I know it’s always been difficult to narrow one’s list down, but we have so many more great films to choose from now. While it’s crucial to acknowledge work of the most recent decades, wouldn’t it be absurd to remove, say, His Girl Friday (the greatest talkie comedy made in black and white?) in order to make space for The Big Lebowski (the greatest talkie comedy made in colour?), or to replace Tokyo Story with A One and a Two, L’Atalante with Beau Travail, Ordet with The White Ribbon. Those were some of the impossible choices I was faced with; as it was, I had to leave out altogether (the agony!) Stroheim, Lang, Renoir, Hitchcock, Mizoguchi, Ophuls, Demy, Altman and Malick, while face-offs like those between Au hazard Balthazar and The Son, Journey to Italy and The Travelling Players, Listen to Britain and Land of Silence and Darkness, Once upon a Time in America and Once upon a Time in Anatolia never really got a look-in. I compromised.
That said, I stand by my final ten (today, at least), and there’s one point I want to make: though I’ve always voted for Welles in such polls, this is the first time I’ve opted for Citizen Kane. I used to be a bit perverse about it, preferring the warmth of The Magnificent Ambersons, the B-movie bravura of Touch of Evil, the mischievous magic of F for Fake. But in the last decade, even more than before, I’ve watched this first feature many times, and each time, it reveals new treasures. Clearly, no single film is the greatest ever made. But if there were one, for me Kane would now be the strongest contender, bar none. 

"
Nigel Andrews,246,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/246,critic,UK,Male,critics poll,"Critic, Financial Times",10,"Kane and Vertigo don’t top the chart by divine right. But those two films are just still the best at doing what great cinema ought to do: extending the everyday into the visionary. My other films were picked for the same reason, though maybe Woody Allen’s greatness lies in taking the everyday and keeping it everyday, just enhanced it with brilliant comic wisdom and perception."
Mauro Andrizzi,1063,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1063,Director,Argentina,Male,directors poll,Iraqi Short Films; Accidentes Gloriosos,10,
Joko Anwar,1002,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1002,Director,Indonesia,Male,directors poll,Joni's Promise; Forbidden Door,10,"My favourite movie of all time, Punch-Drunk Love proves that a movie can be rebellious while still being modest. The Crying Game was my film school. I stole a lot from it. Miracle of Marcelino is still the best movie about class. The Holy Mountain – oh, how my eyes bleed! In many colours. Nights of Cabiria is the best of neo-realism. There Will Be Blood should have won the Oscar. The Exorcist is still the best horror movie of all time."
Adriano Aprà,841,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/841,critic,Italy,Male,critics poll,Critic,10,"I’ve selected, in no order, the first ten directors that came up to my mind, and one film per director. But it could have been ten or 20 other directors or films."
Michael Apted,1065,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1065,Director,UK,Male,directors poll,7 Up; The World Is Not Enough,10,I wanted to cover different genres. My list reflects films that I considered groundbreaking and that had a powerful influence on my own work. Number 11 would be: Nashville (Robert Altman).
Gregg Araki,961,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/961,Director,US,Male,directors poll,Mysterious Skin; The Living End ,10,
Paula Arantzazu Ruiz,215,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/215,critic,Spain,Female,critics poll,Critic,10,
Inácio Araujo,529,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/529,critic,Brazil,Male,critics poll,Critic,10,
Álvaro Arroba,823,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/823,critic,Spain,Male,critics poll,Critic,10,
Anjelika Artyukh,800,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/800,critic,Russia,Female,critics poll,"Critic, Iskusstvo kino",10,
Nana Asfour,269,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/269,critic,US,Female,critics poll,Freelance art; film writer,10,"These films have shaped my understanding of human nature, art’s possibilities and my own heritage."
Manuel Asín,369,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/369,critic,Spain,Male,critics poll,Critic; head of Intermedio DVD,10,"This list is to say: the Sunrise, the Genesis, the Apocalypse, the Word, the Evangiles, Life itself, The Old World, The New World, the Sunset, the Cinema. 
And some personal intentions: the idea of combining some historical monuments with films that will hardly enter the [overall] list yet that are key to me; and the need to put two Godards in the list: the greatest 20th-century artist along with Matisse.
"
Aditya Assarat,849,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/849,Director,Thailand,Male,directors poll,Wonderful Town; Hi-so,10,
Olivier Assayas,1099,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1099,Director,France,Male,directors poll,"Late August, Early September; Carlos",10,
