film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6bbb8b86,1,The Circus,Charles Chaplin,1928,USA,Comedy,Film,Charles Chaplin | Merna Kennedy | Betty Morrissey
4ce2b6a7bab4b,1,Cluny Brown,Ernst Lubitsch,1946,USA,Comedy,Film,Charles Boyer | Jennifer Jones | Peter Lawford
4ce2b73067dd8,1,I Am Curious Yellow,Vilgot Sjöman,1967,Sweden,Drama,Film,Lena Nyman | Peter Lindgren | Börje Ahlstedt
4ce2b6be4a4c3,1,The Last Wave,Peter Weir,1977,Australia,Thriller,Film,Richard Chamberlain | Olivia Hamnett | David Gulpilil
4ce2b6ac5e051,1,His Girl Friday,Howard Hawks,1939,USA,Comedy,Film,Cary Grant | Rosalind Russell | Ralph Bellamy
4ce2b87f41666,1,Oasis,Lee Chang-dong,2002,"Korea, Republic of",Drama,Film,Sol Kyung-koo | Moon So-ri | Ryu Seung-wan
4ce2b6be7b038,1,Mandabi,Ousmane Sembene,1968,France | Senegal,Drama,Film,Makhourédia Guèye | Yunus Ndiay | Isseu Niang
4ce2b6a8c47c2,1,The Devils,Ken Russell,1971,United Kingdom | USA,Drama,Film,Vanessa Redgrave | Oliver Reed | Dudley Sutton
4ce2b8b6cfc9d,1,Children of Men,Alfonso Cuarón,2006,United Kingdom | Japan | USA,Science Fiction,Film,Clive Owen | Julianne Moore | Michael Caine
4ce2b738ed589,1,Light Reading,Lis Rhodes,1979,United Kingdom,Artists' Moving Image,Film,
4ce2b8b3d620f,1,Regular Lovers,Philippe Garrel,2004,France,,Film,Louis Garrel | Clotilde Hesme | Éric Rulliat
4ce2b6ac49313,1,High Noon,Fred Zinemann,1952,USA,Western,Film,Gary Cooper | Thomas Mitchell | Lloyd Bridges
4ce2b6b5a243a,1,Shanghai Express,Josef von Sternberg,1932,USA,,Film,Marlene Dietrich | Clive Brook | Anna May Wong
4ce2b6be277b6,1,Jubilee,Derek Jarman,1977,United Kingdom,Drama,Film,Jenny Runacre | Nell Campbell | Toyah Willcox
4ce2b6bc6d090,1,The Brood,David Cronenberg,1979,Canada,Horror | Medical drama | Science Fiction,Film,Oliver Reed | Samantha Eggar | Art Hindle
4ce2b73934601,1,Line Describing a Cone,Anthony McCall,1973,USA,,Film,
4ce2b79f13e40,1,Nouvelle Vague,Jean-Luc Godard,1990,Switzerland | France,Drama,Film,Alain Delon | Domiziana Giordano | Roland Amstutz
4ce2b83ea7975,1,Sex Pistols -The Filth and The Fury,Julien Temple,1999,United Kingdom | USA,Documentary,Film,Paul Cook | Steve Jones | Glen Matlock
4ce2b78012316,1,The Thing,John Carpenter,1982,USA,Horror | Science Fiction,Film,Kurt Russell | Wilford Brimley | T.K. Carter
4ce2b7b4b6f69,1,Symbiopsychotaxiplasm: Take One,William Greaves,1967,USA,Artists' Moving Image,Film,Patricia Ree Gilbert | Don Fellows | William Greaves
4ce2b6aeb9202,1,Leo the Last,John Boorman,1969,United Kingdom | USA,Drama,Film,Marcello Mastroianni | Billie Whitelaw | Calvin Lockhart
4ce2b6b4877ad,1,La Ricotta,Pier Paolo Pasolini,1963,France | Italy,Anthology,Film,Rosanna Schiaffino | Bruce Balaban | Gianrico Tedeschi
4ce2b6bba25a9,1,Zvenigora,Aleksandr Dovzhenko,1928,USSR,,Film,Mikola Nademsky | Semyon Svashenko | Alexander Podorozhni
4ce2b6ade4ea7,1,Katzelmacher,Rainer Werner Fassbinder,1969,Federal Republic of Germany,Drama,Film,Hanna Schygulla | Lilith Ungerer | Rudolf Waldemar Brem
4ce2b74e4ef08,1,White Nights,Luchino Visconti,1957,France | Italy,Drama,Film,Maria Schell | Marcello Mastroianni | Jean Marais
4ce2b6b5b13f5,1,Sherlock Jr,Buster Keaton,1924,USA,Comedy,Film,Buster Keaton | Kathryn Mcguire | Joe Keaton
4ce2b6be0db24,1,Interiors,Woody Allen,1978,USA,Drama,Film,Kristin Griffith | Mary Beth Hurt | Richard Jordan
4ce2b6a9e4a16,1,Fat City,John Huston,1972,USA,Drama,Film,Stacy Keach | Jeff Bridges | Susan Tyrrell
4ce2b6d500170,1,The Battle of Chile,Patricio Guzmán,1975,Chile | Cuba,Documentary,Film,
4ce2b6e13bb25,1,One from the Heart,Francis Ford Coppola,1982,USA,Musical | Romance | Drama,Film,Frederic Forrest | Teri Garr | Raul Julia
4ce2b6ab3c4c8,1,The Bride of Glomdal,Carl Theodor Dreyer,1925,Norway,Drama,Film,Stub Wiberg | Tove Tellback | Harald Stormoen
4ce2b71b9a45d,1,French Cancan,Jean Renoir,1955,France | Italy,Period drama,Film,Jean Gabin | María Félix | Françoise Arnoul
4ce2b6bbe7916,1,All the President's Men,Alan J Pakula,1976,USA,Drama,Film,Dustin Hoffman | Robert Redford | Jack Warden
4ce2b6a89cf25,1,Deep End,Jerzy Skolimowski,1970,United Kingdom | Federal Republic of Germany,Drama,Film,Jane Asher | John Moulder-Brown | Karl-Michael Vogler
4ce2b6b2e169c,1,A Fistful of Dollars,Sergio Leone,1964,Spain | Italy | Federal Republic of Germany,Western,Film,Clint Eastwood | Marianne Koch | Gian Maria Volonté
4ce2b6bd8762e,1,The Gates of Heaven,Errol Morris,1978,USA,Documentary,Film,Floyd McClure | Joe Allen | Martin Hall
4ce2b8b083987,1,The Wind that Shakes the Barley,Ken Loach,2006,Switzerland | Spain | United Kingdom | Germany | Ireland | Italy,Drama,Film,Cillian Murphy | Liam Cunningham | Pádraic Delaney
4ce2b6b87771e,1,A Time for Dying,Budd Boetticher,1969,USA,Western,Film,Richard Lapp | Anne Randall | Bob Random
4ce2b6f1b625c,1,Funeral Parade of Roses,Toshio Matsumoto,1970,Japan,Drama,Film,Peter | Yoshio Tsuchiya | Osamu Ogasawara
4ce2b69612f7d,1,Burden of Dreams,Les Blank,1982,USA,Documentary,Film,Candace Laughlin | Werner Herzog | Klaus Kinski
4ce2b7d5505b9,1,"Take Care of Your Scarf, Tatjana",Aki Kaurismäki,1993,Finland | Germany,Drama,Film,Kati Outinen | Matti Pellonpää | Kirsi Tykkyläinen
10036,1,Bintang Kejora,Chaerul Umam,,,,,
10111,1,Street of Crocodiles,Brothers Quay,,,,,
4ce2b848bc848,1,The Isle,Kim Ki Duk,2000,"Korea, Republic of",Drama,Film,Suh Jung | Kim Yu-seok | Park Seong-hee
4ce2b6ba76c85,1,West Side Story,Robert Wise/Jerome Robbins,1961,USA,Musical,Film,Natalie Wood | Richard Beymer | Russ Tamblyn
4ce2b79d52351,1,Yeelen,Souleymane Cisse,1987,German Democratic Republic | France | Burkina Faso (Upper Volta) | Mali,Drama,Film,Issiaka Kane | Aoua Sangare | Niamanto Sanogo
4ce2b7129e554,1,Ere erera baleibu icik subua aruaren,José Antonio Sistiaga,1970,Spain,,Film,
4ce2b69554d15,1,The German Sisters,Margarethe von Trotta,1981,Federal Republic of Germany,Drama,Film,Jutta Lampe | Barbara Sukowa | Rüdiger Vogler
4ce2b6a2cbfdc,1,Leaving Jerusalem by Railway,Louis et Auguste Lumière,1897,France,Documentary,Film,
4ce2b6a8a4e7d,1,Diamonds of the Night,Jan Nemec,1964,Czechoslovakia,Drama,Film,Ladislav Jansky | Antonin Kumbera | Ilse Bischofová
4ce2b6bb6c6eb,1,Young Mr Lincoln,John Ford,1939,USA,Biopic | Legal and Courtroom drama | Historical drama,Film,Henry Fonda | Alice Brady | Marjorie Weaver
4ce2b8c554823,1,In the City of Sylvia,José Luis Guerín,2007,Spain | France,Drama,Film,Pilar López de Ayala | Xavier Lafitte | Laurence Cordier
4ce2b6b0511e9,1,Meshes of the Afternoon,Maya Deren/Alexander Hammid,1943,USA,Drama,Film,Maya Deren | Alexander Hackenschmied
10068,1,Smooth Talk,Joyce Chopra,,,,,
4ce2b6af779a6,1,Madame de…,Max Ophüls,1953,France | Italy,Drama,Film,Charles Boyer | Danielle Darrieux | Vittorio De Sica
10014,1,A Tale of the Wind,Joris Ivens,,,,,
4ce2b6b5005bc,1,Samson and Delilah,Cecil B DeMille,1949,USA,Drama,Film,Cecil B. Demille | Hedy Lamarr | Victor Mature
10085,1,Commingled Containers,Stan Brakhage,,,,,
4ce2b6aadec27,1,The Gay Divorce,Mark Sandrich,1934,USA,Comedy | Musical,Film,Fred Astaire | Ginger Rogers | Alice Brady
4ce2b8d1e06d1,1,Inglourious Basterds,Quentin Tarantino,2009,Germany | USA,War,Film,Brad Pitt | Christoph Waltz | Michael Fassbender
4ce2b6b6466ce,1,Wild Strawberries,Ingmar Bergman,1957,Sweden,Drama,Film,Victor Sjöström | Bibi Andersson | Ingrid Thulin
4ce2b6ac69d47,1,The Only Son,"Ozu Yasujirô ",1936,Japan,Drama,Film,Chôko Iida | Shinichi Himori | Masao Hayama
4ce2b6a74931b,1,Cat People,Jacques Tourneur,1943,USA,Horror,Film,Simone Simon | Kent Smith | Tom Conway
4ce2b6b923c5c,1,Turks Fruit,Paul Verhoeven,1973,Netherlands,Drama,Film,Monique van de Ven | Rutger Hauer | Tony Huurdeman
4ce2b7b4c238b,1,Days of Being Wild,Wong Kar Wai,1990,Hong Kong,Drama,Film,Leslie Cheung Kwok-wing | Maggie Cheung Man-yuk | Andy Lau Tak-wah
4ce2b72352ea3,1,"Hanoi, Tuesday 13th",Santiago Álvarez,1967,Cuba,Documentary,Film,
4ce2b6a9833a2,1,The Wild Child,François Truffaut,1969,France,Drama,Film,Jean-Pierre Cargol | Françoise Seigner | François Truffaut
4ce2b7e61eb15,1,Trainspotting,Danny Boyle,1995,United Kingdom,Drama,Film,Ewan McGregor | Ewen Bremner | Jonny Lee Miller
